"Read name"	"Tailfindr"	"Nanopolish"	"Gene Name"
"06e563e7-a879-4b78-bace-681f10253e19"	315.31	148.89	"18s"
"126875aa-f2f2-49b0-8217-ca8d5c94c485"	357.97	165.22	"18s"
"0019f5ad-2bcf-4ac6-8eff-ed3777313133"	366.12	267.25	"18s"
"0d4e1d7f-6352-4072-8c39-291d2dce31a8"	315.75	167.61	"18s"
"040d2829-957c-4022-8363-00f73da9bff6"	243.9	184.53	"18s"
"07e92a64-ce6e-46b1-89b4-bc0cc15088d6"	344.04	245.91	"18s"
"0428ff0a-d977-4875-b76d-5d053d187159"	368.12	269.61	"18s"
"11c16434-6d65-400f-b5df-8a9f03beaa6d"	314.19	219.96	"18s"
"1d11464b-9042-4d94-9e67-69ac375f53d4"	308.71	210.1	"18s"
"056e322f-d014-4567-aede-eeeaf206a096"	226.32	165.88	"18s"
"0d7bdbdc-077b-46f3-8730-427b4612d5bc"	287.91	209.42	"18s"
"11ef7e95-169c-436b-addd-f590c753faf8"	290.5	209.24	"18s"
"03f001fa-7324-434d-a49a-a7804eda49e6"	294.78	202.87	"18s"
"14350963-d200-497f-b791-fe1aec96e626"	338.64	193.84	"18s"
"07ca94f9-9119-4bd7-892a-146c575de54f"	323.5	186.64	"18s"
"03a29702-1f6f-4109-bdef-67e2a4b5f9c6"	346.31	239.3	"25s"
"01d7d67e-2c17-4aa0-a721-eaf00366d922"	320.03	194.97	"25s"
"0454ea43-e7a4-4b88-8520-37fb5565631b"	323.8	203.28	"25s"
"03c42b6d-0c2d-4ef2-b575-3d0b8db1d012"	377.5	288.49	"25s"
"0a9ef809-3fd9-4ff4-8287-aafc457c70ca"	326.88	225.73	"25s"
"05acee33-9abf-4bec-b48a-a251f17483ce"	345.2	300	"25s"
"1f1ca64d-8b60-4c5c-a17a-86854edbf4d9"	289.47	162.64	"25s"
"104035c9-aef8-44b1-b025-c6255e3734b3"	376.92	269.91	"25s"
"0837116c-11b1-4e96-acb6-221315cff92b"	350.39	271.05	"25s"
"0e790a63-b650-443f-b130-8620baa8d7c5"	393.96	291.51	"25s"
"05b267a2-da90-4105-9d8a-ba1ae508f52a"	467.62	343.68	"25s"
"0685e7e3-71c2-4cd3-acd5-e451aec362ff"	412.41	313.45	"25s"
"0f42df4a-fb7b-43c2-9d12-3f85a4136ebb"	360.33	255.25	"25s"
"1f22900f-58d0-4545-9b65-7259dc0ffe46"	375.14	285.9	"25s"
"11d06415-4b97-44ef-a54c-569527914f92"	361.9	11.84	"25s"
"19c9d825-3c96-4555-ac5d-9926174a0ea1"	411.84	283.04	"25s"
"1c18b775-c24e-4353-b32d-29439d8c840d"	357.67	266.38	"25s"
"08102435-9094-42eb-9464-2b5f3fb9bfc5"	365.72	276.38	"25s"
"1d94bc66-ece8-473c-bebc-2069ed7be28b"	455.74	323.7	"25s"
"1460d116-2310-45ff-adcb-c2cb76482a41"	272.65	183.35	"25s"
"1403ba13-f65e-4f18-95b7-6e38040ce9d9"	480.68	363.79	"25s"
"06e4b670-0319-4b72-86cf-58d5a5997212"	348.96	265.76	"25s"
"105e9ec4-3fdc-48ab-9153-978086b733e2"	405.35	311.87	"25s"
"03bc91d8-e6ee-4cd1-9626-57c9db6f8f3b"	290.92	191.65	"25s"
"060dd12d-878c-466f-9c86-68dc585aa68b"	315.92	228.75	"25s"
"1233dbef-84ba-44ad-a49f-0f91adea0124"	397.36	290.78	"25s"
"17e8b61b-9544-4ab4-b685-2abdd158772d"	372.44	288.12	"25s"
"00cd52e4-5a88-4d84-a357-a32d98bd5a10"	351.36	277.76	"25s"
"0e28a818-3e46-48d0-a6b9-3feea0409ab1"	359.96	252.38	"25s"
"062ce897-40b4-4fc4-ac04-bbe58baf51c6"	315.12	191.27	"25s"
"0711c3f2-5582-40b0-8e5a-7b0ba0c7cfba"	284.89	212.73	"25s"
"02a16643-ed3a-41da-ae58-8586f010f24e"	322.38	217.58	"25s"
"0be14e57-4b2c-4219-90bf-9d54fe5a2440"	308.24	196.02	"25s"
"17d010bf-e28f-4470-abc7-8363dca9df54"	320.81	203.8	"25s"
"0b064ace-09cb-45e1-8aa9-af24c56e30bb"	372.56	257.2	"25s"
"084a827f-2ecb-4387-b2cc-13866c444ae8"	357.44	275.12	"25s"
"02cd759c-a1d5-40b1-9458-0ba89f469a24"	389.52	277.74	"25s"
"1b764d2a-e873-4219-89e8-04bf13d695f5"	363.79	269.09	"25s"
"0269cd9a-0756-4e25-bb12-482f04f6d895"	277.65	170.83	"25s"
"0291ad97-f3db-40b0-9c65-f9aa10c4b2b3"	375.55	238.99	"25s"
"18ca1536-bdff-4751-8b89-fe507fc88431"	397.33	304.22	"25s"
"0c1a471d-e434-4d8f-8ca6-0086bbf50ba6"	337.58	248.3	"25s"
"19e57812-8323-4660-b5ae-944257aaa1a8"	350.08	263.07	"25s"
"05e8ce4b-4b66-49b9-8008-64294564e761"	387.38	296.31	"25s"
"15f02e79-dc07-461d-a0c8-9528e8d923a3"	333.74	197.26	"25s"
"1bc79bf6-4a6a-43a9-a9df-8762470a553e"	411.22	304.88	"25s"
"021884ba-b01a-4d12-82e2-55373a71e769"	327.52	218.12	"25s"
"077c64e4-28f9-42ab-b3fd-5ec9bb84b6cd"	304.36	216.03	"25s"
"18a22358-ecea-4d70-b026-db6877bc6d7d"	390.03	262.01	"25s"
"003101d3-90e5-4019-b8a8-995f6c4ffc53"	373.92	255.04	"25s"
"1eaa6193-8d77-4df4-aa55-5f2c259ebec9"	303.38	215.88	"25s"
"1d31107f-7aa0-4560-8b46-3747800652b5"	374.7	246.98	"25s"
"0d914f89-981a-4900-b267-fa4dd7464e66"	325.63	207.31	"25s"
"12515b52-ebdd-4f69-8b0e-781f37fe4850"	321.04	237.52	"25s"
"06e74d6c-8097-4905-9223-9113a25eac4c"	304.65	204.78	"25s"
"16ea1442-18ce-4312-8964-c6b867c3e83a"	371.24	260.44	"25s"
"0e102faf-7667-4883-b335-d966f2874b55"	277.39	190.37	"25s"
"0a7ace87-e806-482d-9c71-04099b6da8fa"	247.3	164.6	"25s"
"08618cf8-8d7c-4dd7-ae9b-b3f228e907f4"	323.7	220.46	"25s"
"06d55746-3fc8-4bb2-9e07-068c8845caa5"	285.47	146.77	"25s"
"154240aa-d961-4228-b952-d7f7a71e67a2"	411.69	310.21	"25s"
"054d44e3-ae87-4c22-b394-9edbce4ab1e8"	275.17	207.76	"25s"
"07545298-47e6-44d8-b240-0377fb8a9187"	320.52	185.72	"25s"
"15a23c35-725d-4320-85df-d52c0d028d4c"	452.65	315.46	"25s"
"02918df7-9a48-4d31-bfd1-a5d13d874bc5"	271.79	204.78	"25s"
"0820d190-fd04-4f5b-a3df-c64f3f0947eb"	390.54	267.62	"25s"
"07032381-3558-43f9-b82a-273d292d43e0"	377.96	215.4	"25s"
"074d0d7d-6b52-4d0a-8e67-0da0060f9080"	434.3	315.63	"25s"
"1776e56a-0bfe-4aa2-a6b3-1ada9e59d2c3"	279.11	193.98	"25s"
"1e5e1d79-44f7-40f4-bfe7-8652b09e17dc"	305.85	166.4	"25s"
"076ef64b-0edb-43ba-bc2e-c1556b951f0b"	320.57	239.51	"25s"
"03a055f5-d112-4068-af43-055af6c717e7"	329.86	198.73	"25s"
"1ceefeb5-6749-4f04-85f7-70da81e2482c"	358.07	177.05	"25s"
"183e6954-f640-49d8-a7a0-082044abb8cd"	299.67	201.29	"25s"
"0eda474b-e6d2-4933-a479-05b9967409e9"	292.42	148.44	"25s"
"198a24ec-f36b-4dbd-a89d-da47dc36ab9f"	403.92	303.56	"25s"
"1e726fad-cdfc-4043-b2f2-71e61c060ba6"	327.2	224.6	"25s"
"0d25c562-168b-4c2f-92da-1df747f36831"	378.81	290.19	"25s"
"122ae36b-e5ea-4dfa-9693-fbcac603ab82"	357.48	207.83	"25s"
"0ee68cc8-b89b-4c56-bc3a-f0fbaada6a9a"	245.52	179.7	"25s"
"1c22cdc6-94e2-4408-abdf-8dd01f751ce7"	313.35	222.05	"25s"
"0f584ca6-ae83-403c-a3dc-3b9cf2922ff5"	216.44	187.59	"25s"
"1a7e036c-7a8d-4f3c-bd04-c56333cd0a72"	340.14	256.05	"25s"
"0c4169b2-7389-4cc7-971c-d417f2d6ea6a"	365.62	282.5	"25s"
"034d147d-34b4-4fb1-8110-59bdfd98e7da"	219.21	155.9	"25s"
